ADOLFO ALSINA,1
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,6,6,
506,AZA.JUNTOS,105,103,102
507,FRENTE DE TODOS,70,71,76
508,FRENTE VAMOS CON VOS,23,22,29
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,26,32,36
,TOTALES,243,243,243
ADOLFO ALSINA,6
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,10,10,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,3,3,
506,AZA.JUNTOS,129,129,126
507,FRENTE DE TODOS,58,58,58
508,FRENTE VAMOS CON VOS,15,14,21
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,10,15,24
,TOTALES,229,229,229
ADOLFO ALSINA,7
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,9,9,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,10,9,
506,AZA.JUNTOS,124,123,123
507,FRENTE DE TODOS,69,67,71
508,FRENTE VAMOS CON VOS,25,26,33
,VOTOS NULOS,4,4,4
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,12,19,26
,TOTALES,257,257,257
ADOLFO ALSINA,8
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,5,,
503,AZA.AVANZA LIBERTAD,10,10,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,5,5,
506,AZA.JUNTOS,130,129,121
507,FRENTE DE TODOS,63,61,73
508,FRENTE VAMOS CON VOS,21,20,28
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,17,26,29
,TOTALES,251,251,251
ADOLFO ALSINA,9
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,2,,
503,AZA.AVANZA LIBERTAD,5,6,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,24,22,
506,AZA.JUNTOS,116,115,118
507,FRENTE DE TODOS,50,51,59
508,FRENTE VAMOS CON VOS,17,16,20
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,26,30,43
,TOTALES,240,240,240
ADOLFO ALSINA,10
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,9,8,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,9,8,
506,AZA.JUNTOS,141,141,137
507,FRENTE DE TODOS,48,46,47
508,FRENTE VAMOS CON VOS,21,22,35
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,11,18,24
,TOTALES,243,243,243
ADOLFO ALSINA,11
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,14,14,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,6,8,
506,AZA.JUNTOS,135,132,124
507,FRENTE DE TODOS,64,63,68
508,FRENTE VAMOS CON VOS,29,28,40
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,14,21,34
,TOTALES,266,266,266
ADOLFO ALSINA,12
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,3,,
503,AZA.AVANZA LIBERTAD,12,11,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,123,123,123
507,FRENTE DE TODOS,63,64,62
508,FRENTE VAMOS CON VOS,23,23,31
,VOTOS NULOS,9,9,9
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,10,13,22
,TOTALES,247,247,247
ADOLFO ALSINA,13
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,5,,
503,AZA.AVANZA LIBERTAD,13,14,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,149,149,150
507,FRENTE DE TODOS,41,44,45
508,FRENTE VAMOS CON VOS,22,23,29
,VOTOS NULOS,2,1,1
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,10,11,21
,TOTALES,246,246,246
ADOLFO ALSINA,14
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,5,,
503,AZA.AVANZA LIBERTAD,13,11,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,7,6,
506,AZA.JUNTOS,148,146,153
507,FRENTE DE TODOS,50,50,52
508,FRENTE VAMOS CON VOS,23,25,27
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,15,23,29
,TOTALES,261,261,261
ADOLFO ALSINA,15
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,6,,
503,AZA.AVANZA LIBERTAD,8,5,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,2,3,
506,AZA.JUNTOS,139,141,133
507,FRENTE DE TODOS,48,50,52
508,FRENTE VAMOS CON VOS,30,30,38
,VOTOS NULOS,2,2,2
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,15,19,25
,TOTALES,250,250,250
ADOLFO ALSINA,16
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,6,,
503,AZA.AVANZA LIBERTAD,17,15,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,143,144,153
507,FRENTE DE TODOS,48,46,45
508,FRENTE VAMOS CON VOS,23,23,30
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,12,21,25
,TOTALES,253,253,253
ADOLFO ALSINA,17
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,12,10,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,7,7,
506,AZA.JUNTOS,149,149,151
507,FRENTE DE TODOS,45,46,41
508,FRENTE VAMOS CON VOS,21,21,24
,VOTOS NULOS,5,5,5
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,4,9,26
,TOTALES,247,247,247
ADOLFO ALSINA,18
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,8,,
503,AZA.AVANZA LIBERTAD,19,19,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,6,6,
506,AZA.JUNTOS,135,134,131
507,FRENTE DE TODOS,57,57,62
508,FRENTE VAMOS CON VOS,20,20,23
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,10,19,39
,TOTALES,255,255,255
ADOLFO ALSINA,19
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,2,,
503,AZA.AVANZA LIBERTAD,5,5,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,147,147,146
507,FRENTE DE TODOS,57,57,58
508,FRENTE VAMOS CON VOS,28,29,33
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,16,17,22
,TOTALES,259,259,259
ADOLFO ALSINA,20
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,3,,
503,AZA.AVANZA LIBERTAD,13,12,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,7,7,
506,AZA.JUNTOS,144,145,144
507,FRENTE DE TODOS,61,59,60
508,FRENTE VAMOS CON VOS,17,15,23
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,13,20,31
,TOTALES,258,258,258
ADOLFO ALSINA,21
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,5,,
503,AZA.AVANZA LIBERTAD,10,9,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,136,136,139
507,FRENTE DE TODOS,59,60,61
508,FRENTE VAMOS CON VOS,24,25,26
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,19,23,31
,TOTALES,257,257,257
ADOLFO ALSINA,22
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,1,,
503,AZA.AVANZA LIBERTAD,15,15,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,9,10,
506,AZA.JUNTOS,139,139,141
507,FRENTE DE TODOS,60,61,67
508,FRENTE VAMOS CON VOS,18,18,20
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,15,14,29
,TOTALES,257,257,257
ADOLFO ALSINA,23
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,5,,
503,AZA.AVANZA LIBERTAD,15,13,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,3,2,
506,AZA.JUNTOS,128,131,125
507,FRENTE DE TODOS,50,49,52
508,FRENTE VAMOS CON VOS,33,32,37
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,12,19,32
,TOTALES,246,246,246
ADOLFO ALSINA,24
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,1,,
503,AZA.AVANZA LIBERTAD,13,14,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,12,12,
506,AZA.JUNTOS,139,138,141
507,FRENTE DE TODOS,51,52,54
508,FRENTE VAMOS CON VOS,19,18,29
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,18,19,29
,TOTALES,253,253,253
ADOLFO ALSINA,25
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,2,,
503,AZA.AVANZA LIBERTAD,14,14,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,7,7,
506,AZA.JUNTOS,142,142,137
507,FRENTE DE TODOS,56,56,62
508,FRENTE VAMOS CON VOS,17,17,23
,VOTOS NULOS,1,1,1
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,14,16,30
,TOTALES,253,253,253
ADOLFO ALSINA,26
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,14,13,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,146,144,147
507,FRENTE DE TODOS,61,60,67
508,FRENTE VAMOS CON VOS,15,15,16
,VOTOS NULOS,4,4,4
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,5,13,19
,TOTALES,253,253,253
ADOLFO ALSINA,27
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,1,,
503,AZA.AVANZA LIBERTAD,4,4,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,3,3,
506,AZA.JUNTOS,64,60,59
507,FRENTE DE TODOS,35,36,39
508,FRENTE VAMOS CON VOS,10,11,11
,VOTOS NULOS,3,3,3
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,5,8,13
,TOTALES,125,125,125
ADOLFO ALSINA,28
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,1,,
503,AZA.AVANZA LIBERTAD,3,3,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,1,1,
506,AZA.JUNTOS,78,78,73
507,FRENTE DE TODOS,42,42,44
508,FRENTE VAMOS CON VOS,8,8,14
,VOTOS NULOS,5,5,5
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,4,5,6
,TOTALES,142,142,142
ADOLFO ALSINA,29
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,0,,
503,AZA.AVANZA LIBERTAD,1,1,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,0,0,
506,AZA.JUNTOS,4,4,4
507,FRENTE DE TODOS,0,0,0
508,FRENTE VAMOS CON VOS,0,0,0
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,0,0,1
,TOTALES,5,5,5
ADOLFO ALSINA,30
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,3,,
503,AZA.AVANZA LIBERTAD,15,14,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,8,7,
506,AZA.JUNTOS,125,123,115
507,FRENTE DE TODOS,62,61,72
508,FRENTE VAMOS CON VOS,11,11,13
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,13,21,37
,TOTALES,237,237,237
ADOLFO ALSINA,31
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,2,,
503,AZA.AVANZA LIBERTAD,14,13,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,153,154,146
507,FRENTE DE TODOS,63,65,80
508,FRENTE VAMOS CON VOS,11,11,13
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,14,14,22
,TOTALES,261,261,261
ADOLFO ALSINA,32
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,2,,
503,AZA.AVANZA LIBERTAD,10,10,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,4,4,
506,AZA.JUNTOS,135,135,135
507,FRENTE DE TODOS,68,69,75
508,FRENTE VAMOS CON VOS,23,21,18
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,8,11,22
,TOTALES,250,250,250
ADOLFO ALSINA,33
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,3,,
503,AZA.AVANZA LIBERTAD,7,7,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,3,4,
506,AZA.JUNTOS,162,161,146
507,FRENTE DE TODOS,53,54,68
508,FRENTE VAMOS CON VOS,21,20,23
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,10,13,22
,TOTALES,259,259,259
ADOLFO ALSINA,34
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,2,,
503,AZA.AVANZA LIBERTAD,17,17,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,7,7,
506,AZA.JUNTOS,140,138,139
507,FRENTE DE TODOS,63,63,72
508,FRENTE VAMOS CON VOS,9,9,11
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,8,12,24
,TOTALES,246,246,246
ADOLFO ALSINA,35
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,5,,
503,AZA.AVANZA LIBERTAD,20,20,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,5,5,
506,AZA.JUNTOS,142,139,141
507,FRENTE DE TODOS,53,53,63
508,FRENTE VAMOS CON VOS,9,9,11
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,13,21,32
,TOTALES,247,247,247
ADOLFO ALSINA,36
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,9,,
503,AZA.AVANZA LIBERTAD,13,12,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,9,9,
506,AZA.JUNTOS,151,148,146
507,FRENTE DE TODOS,55,57,70
508,FRENTE VAMOS CON VOS,19,18,20
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,8,20,28
,TOTALES,264,264,264
ADOLFO ALSINA,37
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,10,,
503,AZA.AVANZA LIBERTAD,8,7,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,10,10,
506,AZA.JUNTOS,138,139,138
507,FRENTE DE TODOS,53,55,62
508,FRENTE VAMOS CON VOS,11,11,13
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,15,23,32
,TOTALES,245,245,245
ADOLFO ALSINA,38
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,20,18,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,6,8,
506,AZA.JUNTOS,133,134,130
507,FRENTE DE TODOS,53,54,61
508,FRENTE VAMOS CON VOS,11,8,13
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,5,10,28
,TOTALES,232,232,232
ADOLFO ALSINA,39
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,0,,
503,AZA.AVANZA LIBERTAD,1,1,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,0,0,
506,AZA.JUNTOS,6,6,6
507,FRENTE DE TODOS,1,1,0
508,FRENTE VAMOS CON VOS,1,1,2
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,0,0,1
,TOTALES,9,9,9
ADOLFO ALSINA,40
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,9,9,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,8,9,
506,AZA.JUNTOS,179,176,176
507,FRENTE DE TODOS,31,31,31
508,FRENTE VAMOS CON VOS,8,7,10
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,11,18,33
,TOTALES,250,250,250
ADOLFO ALSINA,41
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,3,,
503,AZA.AVANZA LIBERTAD,11,10,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,3,3,
506,AZA.JUNTOS,151,148,128
507,FRENTE DE TODOS,31,31,50
508,FRENTE VAMOS CON VOS,16,15,15
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,9,17,31
,TOTALES,224,224,224
ADOLFO ALSINA,42
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,10,9,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,3,4,
506,AZA.JUNTOS,181,179,138
507,FRENTE DE TODOS,33,33,77
508,FRENTE VAMOS CON VOS,12,12,13
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,3,9,18
,TOTALES,246,246,246
ADOLFO ALSINA,43
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,1,,
503,AZA.AVANZA LIBERTAD,1,1,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,1,1,
506,AZA.JUNTOS,42,42,34
507,FRENTE DE TODOS,7,7,15
508,FRENTE VAMOS CON VOS,4,4,4
,VOTOS NULOS,1,1,1
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,1,2,4
,TOTALES,58,58,58
ADOLFO ALSINA,44
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,1,,
503,AZA.AVANZA LIBERTAD,5,5,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,0,0,
506,AZA.JUNTOS,27,27,20
507,FRENTE DE TODOS,24,24,32
508,FRENTE VAMOS CON VOS,3,3,6
,VOTOS NULOS,0,0,0
,VOTOS RECURRIDOS,0,0,0
,VOTOS IMPUGNADOS,0,0,0
,VOTOS EN BLANCO,2,3,4
,TOTALES,62,62,62
ADOLFO ALSINA,45
NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES
501,AZA.+ VALORES,4,,
503,AZA.AVANZA LIBERTAD,11,11,
504,FTE. DE IZQUIERDA  Y DE TRAB.-UNIDAD,9,7,
506,AZA.JUNTOS,148,147,135
507,FRENTE DE TODOS,54,54,60
508,FRENTE VAMOS CON VOS,16,16,19
,VOTOS NULOS,0,0,0
